[INFO: Main      ] Starting Contiki-NG
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 1
[INFO: Main      ] Link-layer address: 0012.7401.0001.0101
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:7401:1:101
[INFO: Sky       ] CC2420 CCA threshold -45
aggregator, node_id: 3, sample: 74.000, missed_samples: 0, msg_ids_in_msg: [1, 1, 1], node_ids_in_msg: [7, 8, 9] , time: 3575424 #
aggregator, node_id: 2, sample: 57.333, missed_samples: 0, msg_ids_in_msg: [1, 1, 1], node_ids_in_msg: [4, 5, 6] , time: 3949593 #
aggregator, node_id: 3, sample: 50.277, missed_samples: 0, msg_ids_in_msg: [2, 2, 2], node_ids_in_msg: [7, 8, 9] , time: 7277715 #
aggregator, node_id: 2, sample: 65.130, missed_samples: 0, msg_ids_in_msg: [2, 2, 2], node_ids_in_msg: [4, 5, 6] , time: 7746458 #
aggregator, node_id: 3, sample: 53.573, missed_samples: 0, msg_ids_in_msg: [3, 3, 3], node_ids_in_msg: [7, 8, 9] , time: 11943994 #
aggregator, node_id: 2, sample: 63.303, missed_samples: 0, msg_ids_in_msg: [3, 3, 3], node_ids_in_msg: [4, 5, 6] , time: 12160534 #
aggregator, node_id: 3, sample: 59.840, missed_samples: 0, msg_ids_in_msg: [4, 4, 4], node_ids_in_msg: [7, 8, 9] , time: 15558963 #
aggregator, node_id: 2, sample: 72.361, missed_samples: 0, msg_ids_in_msg: [4, 4, 4], node_ids_in_msg: [4, 5, 6] , time: 16600184 #
aggregator, node_id: 3, sample: 38.001, missed_samples: 0, msg_ids_in_msg: [5, 5, 5], node_ids_in_msg: [7, 8, 9] , time: 19715065 #
aggregator, node_id: 2, sample: 65.321, missed_samples: 1, msg_ids_in_msg: [5, 5, 5], node_ids_in_msg: [4, 5, 6] , time: 20928326 #
aggregator, node_id: 3, sample: 75.088, missed_samples: 0, msg_ids_in_msg: [6, 6, 6], node_ids_in_msg: [7, 8, 9] , time: 23676073 #
aggregator, node_id: 2, sample: 20.769, missed_samples: 0, msg_ids_in_msg: [6, 6, 7], node_ids_in_msg: [4, 5, 6] , time: 24949617 #
aggregator, node_id: 3, sample: 57.061, missed_samples: 0, msg_ids_in_msg: [7, 7, 7], node_ids_in_msg: [7, 8, 9] , time: 28207332 #
aggregator, node_id: 2, sample: 57.478, missed_samples: 0, msg_ids_in_msg: [7, 7, 8], node_ids_in_msg: [4, 5, 6] , time: 29592361 #
aggregator, node_id: 2, sample: 26.074, missed_samples: 0, msg_ids_in_msg: [8, 8, 9], node_ids_in_msg: [4, 5, 6] , time: 33004193 #
aggregator, node_id: 3, sample: 48.321, missed_samples: 1, msg_ids_in_msg: [8, 8, 8], node_ids_in_msg: [7, 8, 9] , time: 33058973 #
aggregator, node_id: 2, sample: 45.555, missed_samples: 0, msg_ids_in_msg: [9, 9, 10], node_ids_in_msg: [4, 5, 6] , time: 37395264 #
aggregator, node_id: 3, sample: 30.718, missed_samples: 0, msg_ids_in_msg: [9, 9, 10], node_ids_in_msg: [7, 8, 9] , time: 37778079 #
aggregator, node_id: 2, sample: 59.522, missed_samples: 0, msg_ids_in_msg: [10, 10, 11], node_ids_in_msg: [4, 5, 6] , time: 40974091 #
aggregator, node_id: 3, sample: 40.087, missed_samples: 0, msg_ids_in_msg: [10, 10, 11], node_ids_in_msg: [7, 8, 9] , time: 41052107 #
aggregator, node_id: 3, sample: 26.624, missed_samples: 0, msg_ids_in_msg: [11, 11, 12], node_ids_in_msg: [7, 8, 9] , time: 45333477 #
aggregator, node_id: 2, sample: 57.838, missed_samples: 0, msg_ids_in_msg: [11, 11, 12], node_ids_in_msg: [4, 5, 6] , time: 45770956 #
aggregator, node_id: 3, sample: 52.044, missed_samples: 0, msg_ids_in_msg: [12, 12, 13], node_ids_in_msg: [7, 8, 9] , time: 48855293 #
aggregator, node_id: 2, sample: 53.782, missed_samples: 0, msg_ids_in_msg: [12, 12, 13], node_ids_in_msg: [4, 5, 6] , time: 50083436 #
aggregator, node_id: 3, sample: 60.806, missed_samples: 0, msg_ids_in_msg: [13, 13, 14], node_ids_in_msg: [7, 8, 9] , time: 52700631 #
aggregator, node_id: 2, sample: 52.597, missed_samples: 0, msg_ids_in_msg: [13, 13, 14], node_ids_in_msg: [4, 5, 6] , time: 53645945 #
aggregator, node_id: 3, sample: 22.018, missed_samples: 0, msg_ids_in_msg: [14, 14, 15], node_ids_in_msg: [7, 8, 9] , time: 56966179 #
aggregator, node_id: 2, sample: 71.802, missed_samples: 0, msg_ids_in_msg: [14, 14, 15], node_ids_in_msg: [4, 5, 6] , time: 57028753 #
aggregator, node_id: 2, sample: 67.609, missed_samples: 0, msg_ids_in_msg: [15, 15, 16], node_ids_in_msg: [4, 5, 6] , time: 61497506 #
aggregator, node_id: 3, sample: 71.553, missed_samples: 0, msg_ids_in_msg: [15, 15, 16], node_ids_in_msg: [7, 8, 9] , time: 61903768 #
aggregator, node_id: 2, sample: 78.818, missed_samples: 0, msg_ids_in_msg: [16, 16, 17], node_ids_in_msg: [4, 5, 6] , time: 64935006 #
aggregator, node_id: 3, sample: 53.891, missed_samples: 0, msg_ids_in_msg: [16, 16, 17], node_ids_in_msg: [7, 8, 9] , time: 66427214 #
aggregator, node_id: 2, sample: 64.263, missed_samples: 0, msg_ids_in_msg: [17, 17, 18], node_ids_in_msg: [4, 5, 6] , time: 68341256 #
aggregator, node_id: 3, sample: 41.198, missed_samples: 0, msg_ids_in_msg: [17, 17, 18], node_ids_in_msg: [7, 8, 9] , time: 71356898 #
aggregator, node_id: 2, sample: 39.969, missed_samples: 0, msg_ids_in_msg: [18, 18, 19], node_ids_in_msg: [4, 5, 6] , time: 72513141 #
aggregator, node_id: 3, sample: 19.465, missed_samples: 0, msg_ids_in_msg: [18, 18, 19], node_ids_in_msg: [7, 8, 9] , time: 75333467 #
aggregator, node_id: 2, sample: 60.229, missed_samples: 1, msg_ids_in_msg: [19, 19, 20], node_ids_in_msg: [4, 5, 6] , time: 77067837 #
aggregator, node_id: 3, sample: 66.285, missed_samples: 0, msg_ids_in_msg: [19, 19, 20], node_ids_in_msg: [7, 8, 9] , time: 80224062 #
aggregator, node_id: 2, sample: 53.379, missed_samples: 0, msg_ids_in_msg: [20, 21, 21], node_ids_in_msg: [4, 5, 6] , time: 80395933 #
aggregator, node_id: 2, sample: 52.361, missed_samples: 0, msg_ids_in_msg: [21, 22, 22], node_ids_in_msg: [4, 5, 6] , time: 84724068 #
aggregator, node_id: 3, sample: 51.987, missed_samples: 1, msg_ids_in_msg: [20, 20, 21], node_ids_in_msg: [7, 8, 9] , time: 84942857 #
aggregator, node_id: 3, sample: 32.088, missed_samples: 0, msg_ids_in_msg: [21, 22, 22], node_ids_in_msg: [7, 8, 9] , time: 87966179 #
aggregator, node_id: 2, sample: 56.862, missed_samples: 0, msg_ids_in_msg: [22, 23, 23], node_ids_in_msg: [4, 5, 6] , time: 88763151 #
aggregator, node_id: 3, sample: 79.796, missed_samples: 0, msg_ids_in_msg: [22, 23, 23], node_ids_in_msg: [7, 8, 9] , time: 92130329 #
aggregator, node_id: 2, sample: 61.101, missed_samples: 0, msg_ids_in_msg: [23, 24, 24], node_ids_in_msg: [4, 5, 6] , time: 92263128 #
aggregator, node_id: 3, sample: 55.904, missed_samples: 0, msg_ids_in_msg: [23, 24, 24], node_ids_in_msg: [7, 8, 9] , time: 96140348 #
aggregator, node_id: 2, sample: 37.781, missed_samples: 0, msg_ids_in_msg: [24, 25, 25], node_ids_in_msg: [4, 5, 6] , time: 96177216 #
aggregator, node_id: 2, sample: 52.310, missed_samples: 0, msg_ids_in_msg: [25, 26, 26], node_ids_in_msg: [4, 5, 6] , time: 100083464 #
aggregator, node_id: 3, sample: 44.553, missed_samples: 0, msg_ids_in_msg: [24, 25, 25], node_ids_in_msg: [7, 8, 9] , time: 100145951 #
aggregator, node_id: 2, sample: 70.105, missed_samples: 0, msg_ids_in_msg: [26, 27, 27], node_ids_in_msg: [4, 5, 6] , time: 104200655 #
aggregator, node_id: 3, sample: 40.540, missed_samples: 1, msg_ids_in_msg: [25, 26, 26], node_ids_in_msg: [7, 8, 9] , time: 105106881 #
aggregator, node_id: 2, sample: 38.110, missed_samples: 0, msg_ids_in_msg: [27, 28, 28], node_ids_in_msg: [4, 5, 6] , time: 107427218 #
aggregator, node_id: 3, sample: 49.787, missed_samples: 0, msg_ids_in_msg: [26, 28, 27], node_ids_in_msg: [7, 8, 9] , time: 108294386 #
aggregator, node_id: 2, sample: 45.324, missed_samples: 0, msg_ids_in_msg: [28, 29, 29], node_ids_in_msg: [4, 5, 6] , time: 111513152 #
aggregator, node_id: 3, sample: 80.255, missed_samples: 0, msg_ids_in_msg: [27, 29, 28], node_ids_in_msg: [7, 8, 9] , time: 113005322 #
aggregator, node_id: 2, sample: 74.615, missed_samples: 0, msg_ids_in_msg: [29, 30, 30], node_ids_in_msg: [4, 5, 6] , time: 115208450 #
aggregator, node_id: 3, sample: 29.953, missed_samples: 0, msg_ids_in_msg: [28, 30, 29], node_ids_in_msg: [7, 8, 9] , time: 117786582 #
aggregator, node_id: 2, sample: 31.931, missed_samples: 0, msg_ids_in_msg: [30, 31, 31], node_ids_in_msg: [4, 5, 6] , time: 118653797 #
aggregator, node_id: 3, sample: 57.556, missed_samples: 2, msg_ids_in_msg: [29, 31, 30], node_ids_in_msg: [7, 8, 9] , time: 122395947 #
aggregator, node_id: 2, sample: 35.813, missed_samples: 0, msg_ids_in_msg: [31, 32, 32], node_ids_in_msg: [4, 5, 6] , time: 123685031 #
aggregator, node_id: 3, sample: 64.722, missed_samples: 0, msg_ids_in_msg: [31, 33, 31], node_ids_in_msg: [7, 8, 9] , time: 127075648 #
aggregator, node_id: 2, sample: 28.269, missed_samples: 0, msg_ids_in_msg: [32, 33, 33], node_ids_in_msg: [4, 5, 6] , time: 127645949 #
aggregator, node_id: 2, sample: 70.746, missed_samples: 0, msg_ids_in_msg: [33, 34, 34], node_ids_in_msg: [4, 5, 6] , time: 131841277 #
aggregator, node_id: 3, sample: 43.712, missed_samples: 0, msg_ids_in_msg: [32, 34, 32], node_ids_in_msg: [7, 8, 9] , time: 132013140 #
aggregator, node_id: 2, sample: 57.986, missed_samples: 0, msg_ids_in_msg: [34, 35, 35], node_ids_in_msg: [4, 5, 6] , time: 135489719 #
aggregator, node_id: 3, sample: 35.865, missed_samples: 0, msg_ids_in_msg: [33, 35, 33], node_ids_in_msg: [7, 8, 9] , time: 135583470 #
aggregator, node_id: 2, sample: 47.712, missed_samples: 0, msg_ids_in_msg: [35, 36, 36], node_ids_in_msg: [4, 5, 6] , time: 139255330 #
aggregator, node_id: 3, sample: 45.385, missed_samples: 0, msg_ids_in_msg: [34, 36, 34], node_ids_in_msg: [7, 8, 9] , time: 139341268 #
aggregator, node_id: 2, sample: 45.861, missed_samples: 0, msg_ids_in_msg: [36, 37, 37], node_ids_in_msg: [4, 5, 6] , time: 143364708 #
aggregator, node_id: 3, sample: 64.709, missed_samples: 1, msg_ids_in_msg: [35, 37, 35], node_ids_in_msg: [7, 8, 9] , time: 144106897 #
aggregator, node_id: 2, sample: 53.795, missed_samples: 0, msg_ids_in_msg: [37, 38, 38], node_ids_in_msg: [4, 5, 6] , time: 148333485 #
aggregator, node_id: 3, sample: 47.965, missed_samples: 0, msg_ids_in_msg: [36, 39, 36], node_ids_in_msg: [7, 8, 9] , time: 148763142 #
aggregator, node_id: 3, sample: 55.483, missed_samples: 0, msg_ids_in_msg: [37, 40, 37], node_ids_in_msg: [7, 8, 9] , time: 152731901 #
