aggregator, node_id: 2, sample: 65.130, missed_samples: 0 , time: 9021657 #
aggregator, node_id: 3, sample: 50.277, missed_samples: 0 , time: 10248227 #
aggregator, node_id: 2, sample: 63.303, missed_samples: 0 , time: 14312605 #
aggregator, node_id: 3, sample: 53.573, missed_samples: 0 , time: 16045117 #
aggregator, node_id: 2, sample: 72.048, missed_samples: 0 , time: 19420013 #
aggregator, node_id: 3, sample: 59.840, missed_samples: 0 , time: 20983674 #
aggregator, node_id: 2, sample: 64.773, missed_samples: 0 , time: 23451347 #
aggregator, node_id: 3, sample: 38.001, missed_samples: 0 , time: 25437494 #
aggregator, node_id: 2, sample: 48.148, missed_samples: 0 , time: 29076368 #
aggregator, node_id: 3, sample: 75.088, missed_samples: 0 , time: 29755958 #
aggregator, node_id: 2, sample: 57.391, missed_samples: 0 , time: 33810742 #
aggregator, node_id: 3, sample: 57.061, missed_samples: 0 , time: 35335166 #
aggregator, node_id: 2, sample: 40.444, missed_samples: 0 , time: 39435736 #
aggregator, node_id: 3, sample: 48.321, missed_samples: 0 , time: 40732609 #
aggregator, node_id: 2, sample: 29.697, missed_samples: 0 , time: 43646680 #
aggregator, node_id: 3, sample: 15.291, missed_samples: 0 , time: 45763873 #
aggregator, node_id: 2, sample: 17.474, missed_samples: 0 , time: 48381061 #
aggregator, node_id: 3, sample: 51.178, missed_samples: 1 , time: 51615438 #
aggregator, node_id: 2, sample: 45.577, missed_samples: 0 , time: 53545104 #
aggregator, node_id: 3, sample: 41.495, missed_samples: 0 , time: 56701376 #
aggregator, node_id: 2, sample: 57.054, missed_samples: 0 , time: 59171909 #
aggregator, node_id: 3, sample: 38.917, missed_samples: 0 , time: 62146687 #
aggregator, node_id: 2, sample: 55.648, missed_samples: 0 , time: 64232637 #
aggregator, node_id: 3, sample: 53.003, missed_samples: 0 , time: 67544951 #
aggregator, node_id: 2, sample: 67.712, missed_samples: 0 , time: 70029489 #
aggregator, node_id: 3, sample: 70.736, missed_samples: 0 , time: 73381182 #
aggregator, node_id: 2, sample: 46.621, missed_samples: 0 , time: 74537313 #
aggregator, node_id: 3, sample: 46.506, missed_samples: 0 , time: 77966982 #
aggregator, node_id: 2, sample: 87.675, missed_samples: 0 , time: 78537300 #
aggregator, node_id: 3, sample: 86.170, missed_samples: 0 , time: 83896666 #
aggregator, node_id: 2, sample: 33.969, missed_samples: 0 , time: 84318555 #
aggregator, node_id: 3, sample: 49.410, missed_samples: 0 , time: 89193533 #
aggregator, node_id: 2, sample: 68.645, missed_samples: 1 , time: 89334162 #
aggregator, node_id: 3, sample: 53.253, missed_samples: 0 , time: 94107618 #
aggregator, node_id: 2, sample: 54.492, missed_samples: 0 , time: 94256064 #
aggregator, node_id: 3, sample: 68.724, missed_samples: 0 , time: 99107616 #
aggregator, node_id: 2, sample: 78.058, missed_samples: 0 , time: 99826283 #
aggregator, node_id: 3, sample: 25.241, missed_samples: 0 , time: 104365444 #
aggregator, node_id: 2, sample: 71.838, missed_samples: 0 , time: 104732610 #
aggregator, node_id: 2, sample: 65.043, missed_samples: 0 , time: 109451277 #
aggregator, node_id: 3, sample: 25.681, missed_samples: 1 , time: 109951472 #
aggregator, node_id: 2, sample: 35.162, missed_samples: 0 , time: 115273518 #
aggregator, node_id: 3, sample: 52.900, missed_samples: 1 , time: 115810731 #
aggregator, node_id: 2, sample: 31.001, missed_samples: 0 , time: 119318409 #
